DISIni CFPassi CFMosse CFTempo ManPassi ManMosse ManTempo ManInvPassi ManInvMosse ManInvTempo ASPassi ASMosse ASTempo
21 1610 147 5.4139416217803955 1163 119 0.6966047286987305 271 57 0.5296938419342041 167 23 0.20588064193725586 
9 3285 69 22.24762272834778 60 27 0.007010698318481445 40 27 0.017988920211791992 823 21 4.8213019371032715 
17 2774 189 16.060583114624023 1808 123 1.4651744365692139 398 69 1.2023122310638428 651 25 3.114196300506592 
19 4997 227 51.09358739852905 156 31 0.023983001708984375 39 27 0.018011808395385742 176 23 0.2470088005065918 
19 4505 193 39.813803911209106 697 79 0.24485325813293457 164 29 0.20706629753112793 399 23 1.168114423751831 
13 668 69 0.9989850521087646 668 73 0.24900007247924805 334 77 0.8609218597412109 1894 23 25.035273790359497 
17 5001 5001 51.61661100387573 134 25 0.019982576370239258 95 19 0.07995367050170898 56 19 0.030981779098510742 
13 1499 93 4.4791412353515625 41 23 0.00500035285949707 29 17 0.010988712310791016 123 17 0.12892770767211914 
5 14 11 0.0020160675048828125 17 9 0.001993417739868164 16 9 0.005002021789550781 19 9 0.005991697311401367 
21 2319 131 11.289047479629517 590 83 0.18189287185668945 331 73 0.8395326137542725 777 25 4.501394510269165 
23 1199 145 3.0632336139678955 635 83 0.20692110061645508 24 23 0.006996870040893555 27 23 0.007994651794433594 
15 2854 237 16.62022042274475 28 21 0.0030107498168945312 28 21 0.009998798370361328 263 21 0.5028822422027588 
15 5001 5001 50.33927130699158 429 69 0.11593198776245117 401 39 1.2173137664794922 905 23 5.868605852127075 
11 1679 29 5.849119424819946 92 27 0.011992692947387695 37 29 0.014991521835327148 968 21 6.606234788894653 
19 4059 313 33.00729274749756 1800 175 1.4451491832733154 379 81 1.059941291809082 124 23 0.11993932723999023 
21 4633 203 43.50777578353882 200 49 0.03598284721374512 76 33 0.052991628646850586 229 25 0.413435697555542 
13 5001 5001 50.41857957839966 897 93 0.3687872886657715 257 37 0.4577348232269287 1037 25 7.359748125076294 
21 1642 123 5.707599639892578 250 37 0.04597306251525879 282 45 0.5356900691986084 90 23 0.07395744323730469 
13 1364 63 3.993760585784912 215 55 0.043691158294677734 111 19 0.11677074432373047 113 17 0.11593770980834961 
15 4329 217 39.6252920627594 145 39 0.020992040634155273 151 63 0.1962130069732666 1170 25 10.081151485443115 
13 1113 85 2.625941276550293 171 45 0.02598857879638672 92 31 0.0729970932006836 33 15 0.01300811767578125 
15 1702 127 6.1454102993011475 14 15 0.0010008811950683594 14 15 0.003996133804321289 18 15 0.003997325897216797 
21 1955 147 7.99351167678833 127 55 0.020986557006835938 142 45 0.17391228675842285 386 25 1.0769884586334229 
23 4129 183 36.47965908050537 910 153 0.45575380325317383 82 39 0.05396914482116699 131 25 0.13494038581848145 
19 1821 117 7.222476482391357 79 39 0.010006904602050781 24 21 0.00800776481628418 58 21 0.033980369567871094 
15 2627 107 14.114524841308594 1061 107 0.5539157390594482 417 91 1.2760164737701416 497 23 1.8149895668029785 
25 1603 131 5.222289323806763 24 25 0.0029807090759277344 53 35 0.029000043869018555 75 25 0.04697251319885254 
13 454 31 0.5007264614105225 12 13 0.0010004043579101562 12 13 0.0029973983764648438 14 13 0.0029964447021484375 
19 2199 119 10.185560464859009 116 55 0.016985416412353516 197 61 0.3108246326446533 638 25 3.022761344909668 
19 1443 101 4.398862838745117 1457 149 1.0019958019256592 343 65 0.9150242805480957 474 25 1.7239878177642822 
13 5001 5001 50.88658595085144 16 13 0.001998424530029297 52 13 0.02900218963623047 20 13 0.005995750427246094 
13 3820 113 29.422474145889282 1576 135 1.1653096675872803 162 53 0.20588159561157227 256 21 0.4976942539215088 
13 5001 5001 49.633113861083984 70 25 0.008994579315185547 99 23 0.08995938301086426 77 17 0.05099177360534668 
19 1404 107 4.050811767578125 444 51 0.13190531730651855 192 53 0.30898189544677734 353 23 0.9360034465789795 
15 1150 123 2.7854394912719727 1701 133 1.3372323513031006 257 61 0.47222423553466797 2172 25 33.364068031311035 
9 282 27 0.19488739967346191 78 37 0.010010004043579102 53 27 0.028983116149902344 982 21 7.0797929763793945 
19 4293 279 38.436830043792725 1062 127 0.5532219409942627 265 69 0.5317156314849854 212 25 0.3441283702850342 
13 1135 43 2.8458101749420166 312 43 0.07795357704162598 93 31 0.07302546501159668 512 21 1.940093755722046 
11 1521 117 4.735280990600586 3093 203 4.308854103088379 256 45 0.48793864250183105 1768 23 22.13111448287964 
15 434 67 0.4067680835723877 981 71 0.47174787521362305 292 67 0.6386449337005615 1603 25 18.883561849594116 
15 2189 125 9.783060312271118 992 99 0.5017096996307373 168 47 0.2288680076599121 2872 25 56.697959423065186 
15 4907 173 48.51770377159119 987 107 0.4467592239379883 149 33 0.18189430236816406 636 23 2.8693370819091797 
19 2196 91 9.821646213531494 1273 87 0.8015537261962891 148 45 0.17389941215515137 65 21 0.03699541091918945 
19 1148 73 2.845850944519043 431 51 0.12494611740112305 754 97 4.154616832733154 383 25 1.1865384578704834 
13 2128 163 17.0294988155365 295 53 0.10593986511230469 75 33 0.08694815635681152 232 19 0.686603307723999 
17 5001 5001 55.003886222839355 527 37 0.16690707206726074 211 45 0.35781431198120117 35 19 0.014983892440795898 
25 2172 139 9.840983390808105 245 69 0.045990943908691406 560 131 2.37707257270813 74 25 0.05098414421081543 
21 4296 129 38.176969051361084 304 81 0.06796050071716309 118 45 0.1200566291809082 306 25 0.728036642074585 
17 5001 5001 53.18269896507263 877 93 0.4081389904022217 542 105 2.1724042892456055 29 17 0.01175236701965332 
17 797 81 1.400843620300293 616 63 0.21896791458129883 54 35 0.032987117767333984 327 23 0.8290739059448242 
11 5001 5001 49.48993921279907 361 39 0.08899641036987305 20 19 0.005994558334350586 40 15 0.018004179000854492 
17 2719 135 15.644112348556519 1224 161 0.725879430770874 120 31 0.11493277549743652 48 19 0.023981571197509766 
19 5001 5001 48.18424701690674 261 79 0.05296611785888672 168 55 0.2458784580230713 84 21 0.06096458435058594 
15 5001 5001 47.92027711868286 121 45 0.017002344131469727 83 45 0.06495141983032227 281 21 0.5906577110290527 
21 5001 5001 50.17424011230469 1105 143 0.6030080318450928 56 31 0.031998634338378906 159 25 0.21603965759277344 
15 2685 81 14.850197792053223 337 73 0.07718062400817871 151 43 0.18568181991577148 1089 23 8.586925983428955 
19 5001 5001 52.02798533439636 671 81 0.25835561752319336 67 31 0.04496121406555176 73 21 0.04897165298461914 
15 5001 5001 52.0717134475708 629 81 0.22709274291992188 108 33 0.0930013656616211 153 21 0.17845916748046875 
17 1915 141 8.029728412628174 1038 109 0.5418405532836914 333 81 0.8605105876922607 320 23 0.7735540866851807 
21 2161 97 9.89785099029541 59 39 0.0069959163665771484 105 45 0.0909273624420166 142 25 0.17237043380737305 
17 399 33 0.36630773544311523 154 39 0.024990081787109375 40 23 0.016990184783935547 176 21 0.260866641998291 
19 312 39 0.22187542915344238 207 49 0.03697395324707031 138 39 0.1599123477935791 372 23 1.066408395767212 
13 992 75 1.9585726261138916 145 23 0.022008895874023438 40 23 0.01898813247680664 60 15 0.03497910499572754 
23 5001 5001 47.72590970993042 274 45 0.05198168754577637 147 33 0.17290520668029785 346 25 0.8655185699462891 
19 828 73 1.5001521110534668 383 97 0.1039574146270752 139 55 0.16990089416503906 529 25 2.0528132915496826 
15 1980 121 7.988517999649048 931 129 0.395770788192749 305 55 0.6616387367248535 1582 25 16.923012733459473 
19 5001 5001 48.68503499031067 842 105 0.35092687606811523 404 75 1.248908519744873 349 25 0.916010856628418 
19 5001 5001 49.42296290397644 42 27 0.004994392395019531 139 59 0.16290497779846191 264 23 0.506723165512085 
19 3364 181 22.34120512008667 622 81 0.22487497329711914 27 27 0.00799417495727539 132 25 0.13998174667358398 
15 5001 5001 48.67128396034241 283 35 0.05796527862548828 74 35 0.05097055435180664 221 19 0.3538095951080322 
17 1730 125 5.955098628997803 223 47 0.04097604751586914 36 25 0.014988183975219727 1086 25 8.290695667266846 
19 5001 5001 47.600475788116455 34 25 0.0029981136322021484 32 27 0.011006593704223633 239 23 0.39983129501342773 
17 5001 5001 49.17336988449097 2057 159 1.931899070739746 622 99 2.9214084148406982 900 25 5.632028818130493 
21 866 99 1.6406621932983398 1079 131 0.5586771965026855 175 61 0.2528538703918457 75 23 0.05196952819824219 
19 5001 5001 48.74980711936951 697 53 0.24585771560668945 28 25 0.009993791580200195 164 23 0.22187471389770508 
21 504 45 0.5536818504333496 221 49 0.04297447204589844 95 51 0.07596778869628906 417 25 1.3182382583618164 
17 2934 185 17.12481713294983 457 95 0.12793183326721191 436 115 1.5440173149108887 267 23 0.5558648109436035 
13 455 47 0.4387502670288086 189 45 0.03200340270996094 107 43 0.10393834114074707 370 21 1.0773816108703613 
23 5001 5001 52.0057475566864 2725 217 3.2706663608551025 135 45 0.14791393280029297 58 25 0.03199601173400879 
11 15 15 0.002006053924560547 14 15 0.0009906291961669922 15 15 0.0030069351196289062 42 15 0.020977497100830078 
13 3062 103 19.13742733001709 1991 123 1.8613438606262207 99 37 0.0839691162109375 3395 25 82.00631332397461 
17 1928 101 7.782268285751343 109 31 0.015985965728759766 18 17 0.005001068115234375 29 17 0.010990619659423828 
13 75 33 0.019010066986083984 60 33 0.007989645004272461 51 37 0.02798604965209961 74 17 0.05197310447692871 
21 5001 5001 48.66101050376892 786 97 0.343813419342041 182 61 0.2708439826965332 155 25 0.18288326263427734 
19 5001 5001 50.852200984954834 474 115 0.14591526985168457 105 51 0.08994770050048828 70 21 0.04898786544799805 
17 4205 159 35.838603258132935 434 101 0.11994767189025879 340 77 0.8934836387634277 799 25 4.751250267028809 
21 4747 201 48.00006413459778 49 35 0.006008625030517578 133 47 0.14198660850524902 62 23 0.03397631645202637 
17 945 79 1.9713068008422852 60 27 0.006996631622314453 86 35 0.0679471492767334 449 23 1.5777802467346191 
19 941 75 1.9039161205291748 120 53 0.016994237899780273 218 57 0.3887755870819092 320 25 0.8305199146270752 
11 1509 143 4.586370229721069 1162 29 0.6836035251617432 34 17 0.01299428939819336 114 17 0.10992074012756348 
17 1599 111 5.640277624130249 2556 229 2.82102632522583 510 67 1.9618828296661377 700 25 3.5479512214660645 
21 2586 127 13.467285394668579 681 75 0.23687362670898438 83 47 0.06696248054504395 3638 27 94.46708297729492 
15 3347 159 22.74586009979248 1500 101 1.1023614406585693 143 37 0.175917387008667 803 23 4.51347017288208 
7 17 11 0.002019166946411133 20 11 0.002979755401611328 19 11 0.0050106048583984375 21 11 0.00699615478515625 
17 1639 101 5.502892971038818 355 77 0.07495594024658203 143 33 0.16191887855529785 1304 25 12.35930323600769 
13 1105 57 2.520399332046509 42 21 0.004010677337646484 26 21 0.009169816970825195 639 21 3.1322574615478516 
11 964 67 1.9208710193634033 93 29 0.012991666793823242 169 39 0.2348918914794922 2923 23 60.9153208732605 
17 1211 113 3.1418843269348145 1971 129 1.868039608001709 125 43 0.13531017303466797 1217 25 10.925090789794922 
13 5001 5001 51.43681716918945 38 19 0.005012035369873047 30 19 0.010993242263793945 36 15 0.014979124069213867 
17 698 57 1.0591437816619873 995 107 0.5017139911651611 245 63 0.4589049816131592 1174 25 9.950576543807983 
