DISIni CFPassi CFMosse CFTempo ManPassi ManMosse ManTempo ManInvPassi ManInvMosse ManInvTempo ASPassi ASMosse ASTempo
11 5001 5001 49.48993921279907 361 39 0.08899641036987305 20 19 0.005994558334350586 40 15 0.018004179000854492 
17 2719 135 15.644112348556519 1224 161 0.725879430770874 120 31 0.11493277549743652 48 19 0.023981571197509766 
19 5001 5001 48.18424701690674 261 79 0.05296611785888672 168 55 0.2458784580230713 84 21 0.06096458435058594 
15 5001 5001 47.92027711868286 121 45 0.017002344131469727 83 45 0.06495141983032227 281 21 0.5906577110290527 
21 5001 5001 50.17424011230469 1105 143 0.6030080318450928 56 31 0.031998634338378906 159 25 0.21603965759277344 
15 2685 81 14.850197792053223 337 73 0.07718062400817871 151 43 0.18568181991577148 1089 23 8.586925983428955 
19 5001 5001 52.02798533439636 671 81 0.25835561752319336 67 31 0.04496121406555176 73 21 0.04897165298461914 
15 5001 5001 52.0717134475708 629 81 0.22709274291992188 108 33 0.0930013656616211 153 21 0.17845916748046875 
17 1915 141 8.029728412628174 1038 109 0.5418405532836914 333 81 0.8605105876922607 320 23 0.7735540866851807 
21 2161 97 9.89785099029541 59 39 0.0069959163665771484 105 45 0.0909273624420166 142 25 0.17237043380737305 
17 399 33 0.36630773544311523 154 39 0.024990081787109375 40 23 0.016990184783935547 176 21 0.260866641998291 
19 312 39 0.22187542915344238 207 49 0.03697395324707031 138 39 0.1599123477935791 372 23 1.066408395767212 
13 992 75 1.9585726261138916 145 23 0.022008895874023438 40 23 0.01898813247680664 60 15 0.03497910499572754 
23 5001 5001 47.72590970993042 274 45 0.05198168754577637 147 33 0.17290520668029785 346 25 0.8655185699462891 
19 828 73 1.5001521110534668 383 97 0.1039574146270752 139 55 0.16990089416503906 529 25 2.0528132915496826 
15 1980 121 7.988517999649048 931 129 0.395770788192749 305 55 0.6616387367248535 1582 25 16.923012733459473 
19 5001 5001 48.68503499031067 842 105 0.35092687606811523 404 75 1.248908519744873 349 25 0.916010856628418 
19 5001 5001 49.42296290397644 42 27 0.004994392395019531 139 59 0.16290497779846191 264 23 0.506723165512085 
19 3364 181 22.34120512008667 622 81 0.22487497329711914 27 27 0.00799417495727539 132 25 0.13998174667358398 
15 5001 5001 48.67128396034241 283 35 0.05796527862548828 74 35 0.05097055435180664 221 19 0.3538095951080322 
17 1730 125 5.955098628997803 223 47 0.04097604751586914 36 25 0.014988183975219727 1086 25 8.290695667266846 
19 5001 5001 47.600475788116455 34 25 0.0029981136322021484 32 27 0.011006593704223633 239 23 0.39983129501342773 
17 5001 5001 49.17336988449097 2057 159 1.931899070739746 622 99 2.9214084148406982 900 25 5.632028818130493 
21 866 99 1.6406621932983398 1079 131 0.5586771965026855 175 61 0.2528538703918457 75 23 0.05196952819824219 
19 5001 5001 48.74980711936951 697 53 0.24585771560668945 28 25 0.009993791580200195 164 23 0.22187471389770508 
21 504 45 0.5536818504333496 221 49 0.04297447204589844 95 51 0.07596778869628906 417 25 1.3182382583618164 
17 2934 185 17.12481713294983 457 95 0.12793183326721191 436 115 1.5440173149108887 267 23 0.5558648109436035 
13 455 47 0.4387502670288086 189 45 0.03200340270996094 107 43 0.10393834114074707 370 21 1.0773816108703613 
23 5001 5001 52.0057475566864 2725 217 3.2706663608551025 135 45 0.14791393280029297 58 25 0.03199601173400879 
11 15 15 0.002006053924560547 14 15 0.0009906291961669922 15 15 0.0030069351196289062 42 15 0.020977497100830078 
13 3062 103 19.13742733001709 1991 123 1.8613438606262207 99 37 0.0839691162109375 3395 25 82.00631332397461 
17 1928 101 7.782268285751343 109 31 0.015985965728759766 18 17 0.005001068115234375 29 17 0.010990619659423828 
13 75 33 0.019010066986083984 60 33 0.007989645004272461 51 37 0.02798604965209961 74 17 0.05197310447692871 
21 5001 5001 48.66101050376892 786 97 0.343813419342041 182 61 0.2708439826965332 155 25 0.18288326263427734 
19 5001 5001 50.852200984954834 474 115 0.14591526985168457 105 51 0.08994770050048828 70 21 0.04898786544799805 
17 4205 159 35.838603258132935 434 101 0.11994767189025879 340 77 0.8934836387634277 799 25 4.751250267028809 
21 4747 201 48.00006413459778 49 35 0.006008625030517578 133 47 0.14198660850524902 62 23 0.03397631645202637 
17 945 79 1.9713068008422852 60 27 0.006996631622314453 86 35 0.0679471492767334 449 23 1.5777802467346191 
19 941 75 1.9039161205291748 120 53 0.016994237899780273 218 57 0.3887755870819092 320 25 0.8305199146270752 
11 1509 143 4.586370229721069 1162 29 0.6836035251617432 34 17 0.01299428939819336 114 17 0.10992074012756348 
17 1599 111 5.640277624130249 2556 229 2.82102632522583 510 67 1.9618828296661377 700 25 3.5479512214660645 
21 2586 127 13.467285394668579 681 75 0.23687362670898438 83 47 0.06696248054504395 3638 27 94.46708297729492 
15 3347 159 22.74586009979248 1500 101 1.1023614406585693 143 37 0.175917387008667 803 23 4.51347017288208 
7 17 11 0.002019166946411133 20 11 0.002979755401611328 19 11 0.0050106048583984375 21 11 0.00699615478515625 
17 1639 101 5.502892971038818 355 77 0.07495594024658203 143 33 0.16191887855529785 1304 25 12.35930323600769 
13 1105 57 2.520399332046509 42 21 0.004010677337646484 26 21 0.009169816970825195 639 21 3.1322574615478516 
11 964 67 1.9208710193634033 93 29 0.012991666793823242 169 39 0.2348918914794922 2923 23 60.9153208732605 
17 1211 113 3.1418843269348145 1971 129 1.868039608001709 125 43 0.13531017303466797 1217 25 10.925090789794922 
13 5001 5001 51.43681716918945 38 19 0.005012035369873047 30 19 0.010993242263793945 36 15 0.014979124069213867 
17 698 57 1.0591437816619873 995 107 0.5017139911651611 245 63 0.4589049816131592 1174 25 9.950576543807983 
